Title,Authors,Abstract,Published Year,Published Month,Journal,Field,subField,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Detecting and visualizing hate speech in social media: A cyber Watchdog for surveillance.,"Modha, Sandip; Majumder, Prasenjit; Mandl, Thomas; Mandalia, Chintak","• Developed browser plugins to visualize hate speech live on Facebook & Twitter. • Designed proof of concepts for personalized dashboards for Twitter & Instagram. • Optimized classifiers for Hate Speech with tests on standard datasets. • Application areas for the tool are discussed. The multi-fold growth of the social media user-base fuelled a substantial increase in the amount of hate speech posts on social media platforms. The enormous data volume makes it hard to capture such cases and either moderate or delete them. This paper presents an approach to detect and visualize online aggression, a special case of hate speech, over social media. Aggression is categorized into overtly aggressive (OAG), covertly aggressive (CAG), and non-aggressive labels (NAG). We have designed a user interface based on a web browser plugin over Facebook and Twitter to visualize the aggressive comments posted on the Social media user's timelines. This plugin interface might help to the security agency to keep a tab on the social media stream. It also provides citizens with a tool that is typically only available for large enterprises. The availability of such a tool alleviates the technological imbalance between industry and citizens. Besides, the system might be helpful to the research community to create further tools and prepare weakly labeled training data in a few minutes using comments posted by users on celebrity's Facebook, Twitter timeline. We have reported the results on a newly created dataset of user comments posted on Facebook and Twitter using our proposed plugins and the standard Trolling Aggression Cyberbullying 2018 (TRAC) dataset in English and code-mixed Hindi. Various classifiers like Support Vector Machine (SVM), Logistic regression, deep learning model based on Convolution Neural Network (CNN), Attention-based model, and the recently proposed BERT pre-trained language model by Google AI, have been used for aggression classification. The weighted F1-score of around 0.64 and 0.62 is achieved on TRAC Facebook English and Hindi datasets while on Twitter English and Hindi datasets, the weighted F1-score is 0.58 and 0.50, respectively. ",2020,12/15/,Expert Systems with Applications,technology,tech_is,161,,N.PAG-N.PAG,,,,#6056,Modha 2020,,
Design Guidelines and Empirical Case Study for Scaling Authentic Inquiry-based Science Learning via Open Online Courses and Interactive Biology Cloud Labs.,"Hossain, Zahid; Bumbacher, Engin; Brauneis, Alison; Diaz, Monica; Saltarelli, Andy; Blikstein, Paulo; Riedel-Kruse, Ingmar H.","The Next Generation Science Standards (NGSS) and other national frameworks are calling for much more sophisticated approaches to STEM education, centered around the integration of complex experimentation (including real labs, not just simulations), data collection and analysis, modeling, and data-driven argumentation, i.e., students can behave like real scientists. How to implement such complex approaches in scalable ways is an unsolved challenge - both for presential and distance education. Here we report on the iterative design and large-scale deployment of an open online course with a “biology cloud experimentation lab” (using living cells) that engaged remote learners (> 300 students) in the scientific practices of experimentation, modeling and data analysis to investigate the phototaxis of a microorganism. We demonstrate (1) the robustness and scalability of the cloud lab technology (> 2,300 experiments run), (2) the design principles and synergistic integration of multiple UI and learning activities and suitable data formats to facilitate NGSS-aligned science activities, and (3) design features that leverages the natural variability of real biology experiments to instigate authentic inquiry. This platform and course content are now suited for large-scale adaptation in formal K-16 education; and we provide recommendations for inquiry-based science learning in general.",2018,09/15/,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,28,4,478-507,,,,#6255,Hossain 2018,,
"The human touch: How non-expert users perceive, interpret, and fix topic models.","Lee, Tak Yeon; Smith, Alison; Seppi, Kevin; Elmqvist, Niklas; Boyd-Graber, Jordan; Findlater, Leah","Topic modeling is a common tool for understanding large bodies of text, but is typically provided as a “take it or leave it” proposition. Incorporating human knowledge in unsupervised learning is a promising approach to create high-quality topic models. Existing interactive systems and modeling algorithms support a wide range of refinement operations to express feedback. However, these systems’ interactions are primarily driven by algorithmic convenience, ignoring users who may lack expertise in topic modeling. To better understand how non-expert users understand, assess, and refine topics, we conducted two user studies—an in-person interview study and an online crowdsourced study. These studies demonstrate a disconnect between what non-expert users want and the complex, low-level operations that current interactive systems support. In particular, our findings include: (1) analysis of how non-expert users perceive topic models; (2) characterization of primary refinement operations expected by non-expert users and ordered by relative preference; (3) further evidence of the benefits of supporting users in directly refining a topic model; (4) design implications for future human-in-the-loop topic modeling interfaces.",2017,09//,International Journal of Human-Computer Studies,engineering,eng_hci,105,,28-42,,,,#6116,Lee 2017,,
Head mouse control system for people with disabilities.,"Abiyev, Rahib H.; Arslan, Murat","In this paper, a human–machine interface for disabled people with spinal cord injuries is proposed. The designed human–machine interface is an assistive system that uses head movements and blinking for mouse control. In the proposed system, by moving one's head, the user moves the mouse pointer to the required coordinates and then blinks to send commands. The considered head mouse control is based on image processing including facial recognition, in particular, the recognition of the eyes, mouth, and nose. The proposed recognition system is based on the convolutional neural network, which uses the low‐quality images that are captured by a computer's camera. The convolutional neural network (CNN) includes convolutional layers, a pooling layer, and a fully connected network. The CNN transforms the head movements to the actual coordinates of the mouse. The designed system allows people with disabilities to control a mouse pointer with head movements and to control mouse buttons with blinks. The results of the experiments demonstrate that this system is robust and accurate. This invention allows people with disabilities to freely control mouse cursors and mouse buttons without wearing any equipment.",2020,02//,Expert Systems,engineering,eng_hci,37,1,N.PAG-N.PAG,,,,#6244,Abiyev 2020,,
A Smart Home Test Bed for Undergraduate Education to Bridge the Curriculum Gap From Traditional Power Systems to Modernized Smart Grids.,"Hu, Qinran; Li, Fangxing; Chen, Chien-fei","There is a worldwide trend to modernize old power grid infrastructures to form future smart grids, which will achieve efficient, flexible energy consumption by using the latest technologies in communication, computing, and control. Smart grid initiatives are moving power systems curricula toward smart grids. Although the components of smart grids fall within the broader discipline of electrical and computer engineering, undergraduate students are rarely assigned single design projects that require classic power systems knowledge combined with communication, computing, and control. Therefore, as a significant step toward potential curriculum changes, this paper presents such a project, a smart home test bed based on the pedagogical model of project-based learning (PBL) for undergraduate education. The proposed test bed allows undergraduates to gain key knowledge in smart grid topics, such as flattening demand peaks, real-time price response, wireless sensor networks, machine learning, pattern recognition, embedded system programming, user interface design, circuit design, and databases. This is well aligned with smart grid initiatives and provides a platform for students to develop their creativity in engineering design. It also offers real-life examples to be used for raising general public awareness of energy conservation.",2015,02//,IEEE Transactions on Education,education,edu,58,1,32-38,,,,#6242,Hu 2015,,
"Research-Based Design of Pedagogical Agent Roles: a Review, Progress, and Recommendations.","Kim, Yanghee; Baylor, Amy","In this paper we review the contribution of our original work titled 'Simulating Instructional Roles Through Pedagogical Agents' published in the International Journal of Artificial Intelligence and Education (Baylor and Kim in Computers and Human Behavior, 25(2), 450-457, 2005). Our original work operationalized three instructional roles as simulated through pedagogical agents, and demonstrated the effectiveness of these agent roles on learning and motivation. Since the publication of our work, pedagogical agent research has expanded its scope from the provision of intelligent guidance to a broad interest in agents' social and affective support for learners. We discuss current progress in pedagogical agent roles and capabilities, and speculate about the future of agent role design. We expect that optimizing the roles of artificial beings including on-screen agents and robots will continue to interest the educational technology community as these technologies continue to evolve. ",2016,03//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,26,1,160-169,,,,#6108,Kim 2016,,
Effects of adaptive training on metacognitive knowledge monitoring ability in computer-based learning.,"Kautzmann, Tiago Roberto; Jaques, Patricia A.","Abstract An experimental study was conducted with 8th grade students (N = 41), ranging from 13 to 14 years old, whereby they solved first-degree equations using a step-based intelligent tutoring system. The aim of the study is to assess the training of the metacognitive knowledge monitoring ability carried out by an animated pedagogical agent integrated into the tutoring system. Students from the experimental group received metacognitive instructions from the agent, as well as some hints and feedback, whereas those from the control group received only hint-messages and feedback. Pretest and posttest sessions were carried out in order to collect the metacognitive knowledge monitoring ability indexes, as well as the students' performance grades for first degree equations solving. The results indicated that students who received metacognitive instruction presented greater improvement on metacognitive knowledge monitoring ability indexes. The study also monitored students' performance in solving equations during experimental sessions and found that those who received metacognitive instructions completed more equations correctly. This paper also discusses the implications of the results for the theory of metacognitive knowledge monitoring ability. Highlights • An agent that trains the knowledge monitoring ability is evaluated. • The agent's training can improve students' knowledge monitoring ability. • The agent's training can improve students' learning performance. • A correlation between students' performance and metacognitive ability is found. ",2019,02//,Computers & Education,education,edu_computr,129,,92-105,,,,#6026,Kautzmann 2019,,
Cyber-physical postural training system for construction workers.,"Akanmu, Abiola A.; Olayiwola, Johnson; Ogunseiju, Omobolanle; McFeeters, David","Risks of work-related musculoskeletal injuries can be reduced by adequately training construction workers on performing work in safe postures. Traditional training approaches provide limited support for performing work tasks and receiving real-time feedback. This paper describes a cyber-physical postural training environment where workers can practice to perform work with reduced ergonomic risks. The proposed system uses wearable sensors, Vive trackers, machine learning and virtual reality to track body kinematics, and engagement with physical construction resources, and provides feedback via an interactive user interface. The postural training system was developed for training workers engaged in wood frame construction. User study of the effectiveness of the feedback and user interface was conducted. Findings showed that the user interface was perceived as convenient with limited interference with the workspace. The feedback was understandable in learning risks associated with participant's postures. Further research will involve conducting formative workload evaluation of the user interface and developing a reinforcement learning model for adapting the feedback based on the state of learning. • This paper delineates a cyber-physical system for training workers on safe work postures. • Development of the postural training system for wood frame construction is presented. • Real-time postural feedback is provided via an interactive user interface augmented on the field of view. • Usability study of the effectiveness of the user interface and the feedback is presented. • Contribution of this study is in demonstrating the efficacy of the user interface in providing feedback on safe work performance",2020,09//,Automation in Construction,technology,tech_constr,117,,N.PAG-N.PAG,,,,#6021,Akanmu 2020,,
"Emotion, age, and gender classification in children’s speech by humans and machines.","Kaya, Heysem; Salah, Albert Ali; Karpov, Alexey; Frolova, Olga; Grigorev, Aleksey; Lyakso, Elena","In this article, we present the first child emotional speech corpus in Russian, called “EmoChildRu”, collected from 3 to 7 years old children. The base corpus includes over 20 K recordings (approx. 30 h), collected from 120 children. Audio recordings are carried out in three controlled settings by creating different emotional states for children: playing with a standard set of toys; repetition of words from a toy-parrot in a game store setting; watching a cartoon and retelling of the story, respectively. This corpus is designed to study the reflection of the emotional state in the characteristics of voice and speech and for studies of the formation of emotional states in ontogenesis. A portion of the corpus is annotated for three emotional states (comfort, discomfort, neutral). Additional data include the results of the adult listeners’ analysis of child speech, questionnaires, as well as annotation for gender and age in months. We also provide several baselines, comparing human and machine estimation on this corpus for prediction of age, gender and comfort state. While in age estimation, the acoustics-based automatic systems show higher performance, they do not reach human perception levels in comfort state and gender classification. The comparative results indicate the importance and necessity of developing further linguistic models for discrimination.",2017,11//,Computer Speech & Language,technology,tech_langspeech,46,,268-283,,,,#6160,Kaya 2017,,
Using artificial intelligence for modeling of the realistic animal behaviors in a virtual island.,"Turan, Ertan; Çetin, Gürcan","• A virtual environment modeled in unity 3D platform, and user – virtual character interactions have been enabled with artificial intelligence. • Fuzzy logic method is used to create action states of the virtual animals. • A developed gyroscopic equipment enables to user an eagles' perspective which called 'Flight Simulation'. • The fuzzy logic strategy has a good performance to create AI-based animals. • With the proposed model, user – virtual environment interaction is increased and presented more realistic experience. The remarkable development of the computer graphic techniques enables the creation and management of more realistic games and virtual environments. However, placing the Artificial Intelligence (AI) in a virtual world get making these environments both more interactive and more believable. One of the most ambitious goals of the AI is to create virtual worlds in which a big number of virtual characters or humans being interacted and behave in an autonomous way. For this purpose, placing embodied intelligence characters in a virtual world offers a unique opportunity to evaluate the AI concept. This paper introduces a Virtual Island developed in an innovative way based on fuzzy rules at the user interaction mechanism. We have used fuzzy tactics to create AI-based animals having various behavior types from an eagles' perspective which called 'Flight Simulation'. The simulation utilizes an eagle flying over the airspace of the Island of Chios. The AI on the ground is triggered by other animals when they enter a radius area with a certain speed defined in the software. It then decides how to behave according to health, behavior type and confidence level. Also, there is non-AI sparrow herd placed over the island to make user understand how fast he is and give the user sense of speed what can be called as an in-project feature. Consequently, the used Fuzzy Tactics have been tested in realized Unity 3D simulation. The results of the study have proven that the virtual environment consisting AI-based animals has a good performance in terms of animal-user interactions and provided satisfactory results in run time.",2019,10//,Computer Standards & Interfaces,technology,tech_computr,66,,103361-103361,,,,#6145,Turan 2019,,
Robots Show Us How to Teach Them: Feedback from Robots Shapes Tutoring Behavior during Action Learning.,"Vollmer, Anna-Lisa; Mühlig, Manuel; Steil, Jochen J.; Pitsch, Karola; Fritsch, Jannik; Rohlfing, Katharina J.; Wrede, Britta","Robot learning by imitation requires the detection of a tutor's action demonstration and its relevant parts. Current approaches implicitly assume a unidirectional transfer of knowledge from tutor to learner. The presented work challenges this predominant assumption based on an extensive user study with an autonomously interacting robot. We show that by providing feedback, a robot learner influences the human tutor's movement demonstrations in the process of action learning. We argue that the robot's feedback strongly shapes how tutors signal what is relevant to an action and thus advocate a paradigm shift in robot action learning research toward truly interactive systems learning in and benefiting from interaction",2014,03//,PLoS ONE,science,sci,9,3,1-12,,,,#6093,Vollmer 2014,,
How universal can an intelligence test be?,"Dowe, David L; Hernández-Orallo, José","The notion of a universal intelligence test has been recently advocated as a means to assess humans, non-human animals and machines in an integrated, uniform way. While the main motivation has been the development of machine intelligence tests, the mere concept of a universal test has many implications in the way human intelligence tests are understood, and their relation to other tests in comparative psychology and animal cognition. From this diversity of subjects in the natural and artificial kingdoms, the very possibility of constructing a universal test is still controversial. In this paper we rephrase the question of whether universal intelligence tests are possible or not into the question of how universal intelligence tests can be, in terms of subjects, interfaces and resolutions. We discuss the feasibility and difficulty of universal tests depending on several levels according to what is taken for granted: the communication milieu, the resolution, the reward system or the agent itself. We argue that such tests must be highly adaptive, i.e. that tasks, resolution, rewards and communication have to be adapted according to how the evaluated agent is reacting and performing. Even so, the most general expression of a universal test may not be feasible (and, at best, might only be theoretically semi-computable). Nonetheless, in general, we can analyze the universality in terms of some traits that lead to several levels of universality and set the quest for universal tests as a progressive rather than absolute goal.",2014,02//,Adaptive Behavior,ai,ai,22,1,51-69,,,,#5835,Dowe 2014,,
EEG-based approach for recognizing human social emotion perception.,"Zhu, Li; Su, Chongwei; Zhang, Jianhai; Cui, Gaochao; Cichocki, Andrzej; Zhou, Changle; Li, Junhua","Social emotion perception plays an important role in our daily social interactions and is involved in the treatments for mental disorders. Hyper-scanning technique enables to measure brain activities simultaneously from two or more persons, which was employed in this study to explore social emotion perception. We analyzed the recorded electroencephalogram (EEG) to explore emotion perception in terms of event related potential (ERP) and phase synchronization, and classified emotion categories based on convolutional neural network (CNN). The results showed that (1) ERP was significantly different among four emotion categories (i.e., anger, disgust, neutral, and happy), but there was no significant difference for ERP in the comparison of rating orders (the order of rating actions of the paired participants); (2) the intra-brain phase lag index (PLI) was higher than the inter-brain PLI but its number of connections exhibiting significant difference was less in all typical frequency bands (from delta to gamma); (3) the emotion classification accuracy of inter-PLI-Conv outperformed that of intra-PLI-Conv for all cases of using each frequency band (five frequency bands totally). In particular, the classification accuracies averaged across all participants in the alpha band were 65.55% and 50.77% (much higher than the chance level) for the inter-PLI-Conv and intra-PLI-Conv, respectively. According to our results, the emotion category of happiness can be classified with a higher performance compared to the other categories.",2020,10//,Advanced Engineering Informatics,engineering,eng_infomatics,46,,N.PAG-N.PAG,,,,#6649,Zhu 2020,,
Scoring and assessment in medical VR training simulators with dynamic time series classification.,"Vaughan, Neil; Gabrys, Bogdan","This research proposes and evaluates scoring and assessment methods for Virtual Reality (VR) training simulators. VR simulators capture detailed n-dimensional human motion data which is useful for performance analysis. Custom made medical haptic VR training simulators were developed and used to record data from 271 trainees of multiple clinical experience levels. DTW Multivariate Prototyping (DTW-MP) is proposed. VR data was classified as Novice, Intermediate or Expert. Accuracy of algorithms applied for time-series classification were: dynamic time warping 1-nearest neighbor (DTW-1NN) 60%, nearest centroid SoftDTW classification 77.5%, Deep Learning: ResNet 85%, FCN 75%, CNN 72.5% and MCDCNN 28.5%. Expert VR data recordings can be used for guidance of novices. Assessment feedback can help trainees to improve skills and consistency. Motion analysis can identify different techniques used by individuals. Mistakes can be detected dynamically in real-time, raising alarms to prevent injuries. • Skill assessment methods for adaptive Virtual Reality simulator training. • Developed methods for assessing the skill using time series trajectories. • Clustering and classification used to assess skill from multivariate time series. • Dynamic Time Warping used to compare and prototype time series clusters. • Comparison between data collected from novices and expert clinicians",2020,09//,Engineering Applications of Artificial Intelligence,engineering,eng_ai,94,,N.PAG-N.PAG,,,,#6508,Vaughan 2020,,
Argumentation Scheme-Based Argument Generation to Support Feedback in Educational Argument Modeling Systems.,"Green, Nancy","This paper describes an educational argument modeling system, GAIL (Genetics Argumentation Inquiry Learning). Using GAIL's graphical interface, learners can select from possible argument content elements (hypotheses, data, etc.) displayed on the screen with which to construct argument diagrams. Unlike previous systems, GAIL uses domain-independent argumentation schemes to generate expert arguments as a knowledge source. By comparing the learner's argument diagram to a generated argument, GAIL can provide problem-specific feedback on both the structure and meaning of the learner's argument, e.g., that the learner's argument contains an irrelevant premise. To generate arguments, the argumentation schemes are instantiated from causal domain models specified by lesson authors. Thus, this approach to generating expert arguments has the potential to be used in other domains. In this paper we describe use of GAIL's Authoring Tool to create the domain model and content elements to be provided for a specific lesson, how expert arguments are generated in GAIL, and how the feedback is produced. As GAIL is a work-in-progress, the paper also describes plans for the next design iteration. ",2017,09//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,27,3,515-533,,,,#6564,Green 2017,,
